time stamp,marker
3135789.407994814,[176]
3135789.90933272,[177]
3135789.9089948144,[177]
3135790.409641414,[178]
3135790.4089948144,[178]
3135790.910586097,[179]
3135790.909994814,[179]
3135791.41066833,[180]
3135791.409994814,[180]
3135791.911051783,[181]
3135791.9109948142,[181]
3135792.41135282,[182]
3135792.4109948142,[182]
3135792.911603896,[183]
3135792.9109948142,[183]
3135793.411957081,[184]
3135793.4109948142,[184]
3135793.912084169,[185]
3135793.911994814,[185]
3135794.412462516,[186]
3135794.411994814,[186]
3135794.912749695,[187]
3135794.911994814,[187]
3135795.413034686,[188]
3135795.412994814,[188]
3135795.91314974,[189]
3135795.912994814,[189]
3135796.413642594,[190]
3135796.412994814,[190]
3135796.914331277,[191]
3135796.9139948143,[191]
3135797.414720929,[192]
3135797.4139948143,[192]
3135797.915520837,[193]
3135797.914994814,[193]
3135798.415387549,[194]
3135798.414994814,[194]
3135798.915921611,[195]
3135798.914994814,[195]
3135799.41633679,[196]
3135799.415994814,[196]
3135799.91675124,[197]
3135799.915994814,[197]
3135800.417029667,[198]
3135800.4169948143,[198]
3135800.91722896,[199]
3135800.9169948143,[199]
3135801.418119671,[200]
3135801.417994814,[200]
3135801.918671967,[201]
3135801.917994814,[201]
3135802.418826405,[202]
3135802.417994814,[202]
3135802.919612456,[203]
3135802.918994814,[203]
3135803.420030917,[204]
